round,seed,win,loss,winrate
0,1,150,2,0.123355263
0,2,141,11,0.115953947
0,3,130,22,0.106907895
0,4,120,32,0.098684211
0,5,99,53,0.081414474
0,6,94,58,0.077302632
0,7,93,59,0.076480263
0,8,74,78,0.060855263
0,9,78,74,0.064144737
0,10,59,93,0.048519737
0,11,58,94,0.047697368
0,12,53,99,0.043585526
0,13,32,120,0.026315789
0,14,22,130,0.018092105
0,15,11,141,0.009046053
0,16,2,150,0.001644737
1,1,128,22,0.210526316
1,2,95,46,0.15625
1,3,80,50,0.131578947
1,4,72,48,0.118421053
1,5,52,47,0.085526316
1,6,44,50,0.072368421
1,7,29,64,0.047697368
1,8,16,58,0.026315789
1,9,8,70,0.013157895
1,10,24,35,0.039473684
1,11,26,32,0.042763158
1,12,22,31,0.036184211
1,13,6,26,0.009868421
1,14,2,20,0.003289474
1,15,4,7,0.006578947
1,16,0,2,0.003
2,1,101,27,0.332236842
2,2,68,27,0.223684211
2,3,39,41,0.128289474
2,4,23,49,0.075657895
2,5,12,40,0.039473684
2,6,16,28,0.052631579
2,7,10,19,0.032894737
2,8,9,7,0.029605263
2,9,5,3,0.016447368
2,10,9,15,0.029605263
2,11,9,17,0.029605263
2,12,2,20,0.006578947
2,13,0,6,0.003
2,14,0,2,0.003
2,15,1,3,0.003289474
2,16,0,0,0.003
3,1,60,41,0.394736842
3,2,32,36,0.210526316
3,3,17,22,0.111842105
3,4,14,9,0.092105263
3,5,9,3,0.059210526
3,6,3,13,0.019736842
3,7,3,7,0.019736842
3,8,6,3,0.039473684
3,9,2,3,0.013157895
3,10,1,8,0.006578947
3,11,5,4,0.032894737
3,12,0,2,0.003
3,13,0,0,0.003
3,14,0,0,0.003
3,15,0,1,0.003
3,16,0,0,0.003
4,1,37,23,0.486842105
4,2,13,19,0.171052632
4,3,11,6,0.144736842
4,4,4,10,0.052631579
4,5,4,5,0.052631579
4,6,2,1,0.026315789
4,7,1,2,0.013157895
4,8,4,2,0.052631579
4,9,0,2,0.003
4,10,0,1,0.003
4,11,0,5,0.003
4,12,0,0,0.003
4,13,0,0,0.003
4,14,0,0,0.003
4,15,0,0,0.003
4,16,0,0,0.003
5,1,24,13,0.631578947
5,2,5,8,0.131578947
5,3,4,7,0.105263158
5,4,2,2,0.052631579
5,5,0,4,0.003
5,6,1,1,0.026315789
5,7,1,0,0.026315789
5,8,1,3,0.026315789
5,9,0,0,0.003
5,10,0,0,0.003
5,11,0,0,0.003
5,12,0,0,0.003
5,13,0,0,0.003
5,14,0,0,0.003
5,15,0,0,0.003
5,16,0,0,0.003
